شعبه,برند,نام محصول,قیمت,تعداد فروش
مازندران,عالیس,شیر کاکائو فرادما,25000,8900
مازندران,عالیس,شیر نارگیر فرادما,25000,7900
مازندران,عالیس,نوشابه گازدار با طعم کولا,30000,9550
مازندران,عالیس,نوشیدنی مالت عالیس با طعم کلاسیک,40000,6900
مازندران,عالیس,نوشیدنی مالت کلاسیک,35000,6800
مازندران,عالیس,نوشیدنی مالت عالیس با طعم قهوه,40000,7050
مازندران,عالیس,دوغ بدون گاز با طعم نعنا,40000,4500
مازندران,عالیس,دوغ بدون گاز هشت گیاه,42000,7530
مازندران,عالیس,نوشیدنی لیمو نعنا گازدار,41000,6540
مازندران,عالیس,شیر کمچرب فرادما,20000,9700
مازندران,عالیس,نوشابه گازدار  پرتقالی,30000,9800
اصفهان,کاله,شیر پرچرب,20000,3900
اصفهان,کاله,شیر کم چرب,39900,4100
اصفهان,کاله,شیر قهوه,40000,2560
اصفهان,کاله,شیر کاکاعو,30000,2670
اصفهان,کاله,شیر موز,20000,4370
اصفهان,کاله,دوکولا,25000,10700
اصفهان,کاله,نیوشابه,25000,11220
اصفهان,کاله,آب معدنی لاکی یو با طعم لیمو,29500,3900
اصفهان,کاله,شیر قهوه کاپوچینو,50000,3600
اصفهان,کاله,شیر بدون لاکتوز,59000,4300
اصفهان,کاله,شیر قهوه موکا سولاته,50000,6900
اصفهان,کاله,شیر پرچرب 955 میلی لیتر,43900,5940
اصفهان,کاله,شیر موز غنی شده,16500,4240
اصفهان,کاله,شیر کاکائو غنی شده,18700,5300
اصفهان,کاله,شیر قهوه اسپرسو,50000,5650
اصفهان,کاله,شیر کم چرب غنی شده,12000,4980
اصفهان,پگاه,شیر,20000,4900
اصفهان,پگاه,شیر خشک,30000,4550
تهران,پگاه,شیر گاومیش,70000,1320
تهران,پگاه,شیر کاکاعو فرادما,52000,7850
تهران,پگاه,شیر کامل,42000,7430
تهران,پگاه,شیرطالبی,14000,6930
تهران,پگاه,شیر موز فرادما,44000,9090
تهران,پگاه,شیر پرچرب,14500,8080
تهران,پگاه,شیر عسل,15000,6910
تهران,سان استار,آبمیوه انبه,23000,5000
تهران,سان استار,آبمیوه بلوبری و انار,78000,4300
تهران,سان استار,آبمیوه طبیعی,76000,6700
تهران,سان استار,نوشیدنی پرتغال,23000,7800
تهران,سان استار,نوشیدنی طبیعی موهیتو,66000,8640
تهران,سان استار,آبمیوه سیب,23000,5640
تهران,سان استار,آبمیوه یانگ بلوبری انار,78000,3900
تهران,سان استار,آبمیوه هلو,27000,7500
تهران,سان استار,آبمیوه لیمو,27000,8500
تهران,سان استار,آبمیوه پرتغال توسرخ,27000,9500
تهران,سان استار,آبمیوه میکس هندوانه و ملون,56000,5750
تهران,سان استار,آبمیوه چریکی,47000,6900
تهران,سان استار,نوشیدنی آلبالو,23000,7000
